nct_id,total_number_trt,total_number_placebo,effective_trt,effective_placebo
NCT03418571,12,3,1,0
NCT03028129,132,122,49,77
NCT02775916,20,20,20,8
NCT02748863,72,71,64,1
NCT02718898,75,74,55,6
NCT02713243,17,19,9,14
NCT02604160,5,2,1,0
NCT02576951,15,3,3,0
NCT02561702,4,4,2,0
NCT02454283,26,15,18,3
NCT02446990,9550,9552,654,611
NCT02441218,3241,3264,793,937
NCT02437487,59,30,26,16
NCT02421172,31,32,10,4
NCT02418312,114,114,106,101
NCT02362321,10,10,9,7
NCT02361476,187,183,46,86
NCT02328404,29,29,7,0
NCT02269475,849,430,0,1
NCT02231580,14,3,11,2
NCT02230761,60,30,27,6
NCT02221648,18,19,5,3
NCT02158936,179,177,28,55
NCT02145468,1731,1758,139,123
NCT02126306,13,10,13,10
NCT02089113,161,80,63,25
NCT02062801,299,297,8,14
NCT02062385,1927,1937,34,109
NCT02055638,49,48,28,21
NCT02054754,30,10,9,1
NCT02045732,3,1,3,0
NCT02041325,22,16,4,3
NCT02014584,58,59,9,5
NCT01998399,12,13,4,2
NCT01973205,408,415,90,69
NCT01965652,621,619,425,446
NCT01942590,8,5,1,0
NCT01938664,20,10,20,10
NCT01929460,13,13,0,0
