rank,nct_id,title,conditions,interventions
41,NCT03824912,Clinical Study to Evaluate the Therapeutic Equivalence of Ketoconazole Cream 2% in the Treatment of Tinea Pedis,Tinea Pedis,Drug: Ketoconazole Cream 2%|Drug: Ketoconazole Cream 2% (G&W Laboratories Inc.)|Drug: Placebo
42,NCT03822078,"Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Denosumab (AMG 162) in Japanese Postmenopausal Women",Osteoporosis,Drug: Placebo|Biological: Denosumab
51,NCT03781375,Etanercept Plus Methotrexate Versus Methotrexate Alone in Children With Polyarticular Course Juvenile Rheumatoid Arthritis,Juvenile Rheumatoid Arthritis,Drug: Etanercept|Drug: Placebo to Etanerceot|Drug: Methotrexate
52,NCT03780959,Safety and Efficacy of Etanercept (Recombinant Human Tumor Necrosis Factor Receptor Fusion Protein [TNFR:Fc]) in Children With Juvenile Rheumatoid Arthritis (JRA),Juvenile Rheumatoid Arthritis,Drug: Etanercept|Drug: Placebo
91,NCT03660787,Efficacy and Dose Ranging Study of Seroguard,Adhesion,Drug: Seroguard|Drug: Placebo
108,NCT03640559,Safety and Tolerability of Seroguard Use,Adhesion,Drug: Seroguard|Drug: Placebos
146,NCT03590613,Phase I Study of GSK2982772 in Japanese Healthy Male Participants,Autoimmune Diseases,Drug: GSK2982772|Drug: Placebo
202,NCT03530631,Neuroimaging the Expectancy Versus Pharmacotherapy Effect of Adderall on Cognitive Performance,Expectancy Versus Pharmacotherapy Effect of Adderall,Drug: Adderall|Drug: Placebo
250,NCT03482713,Study of Gefapixant (MK-7264) in Adult Japanese Participants With Unexplained or Refractory Chronic Cough (MK-7264-033),Chronic Cough,Drug: Gefapixant 45 mg|Drug: Placebo
289,NCT03453060,Safety and Tolerability Study of E-WE Thrombin in Healthy Adult Subjects,Thrombosis,Drug: E-WE Thrombin- Dose 1|Drug: E-WE Thrombin- Dose 2|Drug: E-WE Thrombin- Dose 3|Drug: E-WE Thrombin- Dose 4|Other: Placebo
298,NCT03445195,Evaluation of Safety and Efficacy of Intravenous Sulbactam-ETX2514 in the Treatment of Hospitalized Adults With Complicated Urinary Tract Infections,Complicated Urinary Tract Infection|Acute Pyelonephritis,Drug: Sulbactam-ETX2514|Drug: Placebo|Drug: Imipenem-cilastatin
330,NCT03418571,Evaluation of ALX-0171 in Japanese Children Hospitalized for Respiratory Syncytial Virus Lower Respiratory Tract Infection,Respiratory Syncytial Virus Lower Respiratory Tract Infection,Biological: ALX-0171 1.5 mg/kg|Other: Placebo
344,NCT03407430,Trial of Pregabalin for Granulocyte Colony-stimulating Factor (GCSF)-Induced Bone Pain,Breast Cancer|Lymphoma|Pain,Drug: Pregabalin|Drug: Placebo
379,NCT03374488,Pembrolizumab + Epacadostat vs Pembrolizumab + Placebo in Recurrent or Progressive Metastatic Urothelial Carcinoma,UC (Urothelial Cancer),Drug: Pembrolizumab|Drug: Epacadostat|Drug: Placebo
403,NCT03361865,Pembrolizumab in Combination With Epacadostat or Placebo in Cisplatin-ineligible Urothelial Carcinoma (KEYNOTE-672/ECHO-307),UC (Urothelial Cancer),Drug: Pembrolizumab|Drug: Epacadostat|Drug: Placebo
459,NCT03329885,"A Study of Experimental Medication BMS-986251, Taken by Mouth, in Healthy Participants and Patients With Average to Very Serious Psoriasis",Rheumatoid Arthritis|Psoriasis|Ankylosing Spondylitis|Inflammatory Bowel Diseases|Nonalcoholic Steatohepatitis,Drug: BMS-986251|Other: Placebo
511,NCT03305419,A Safety and Pharmacokinetic (PK) Study of GSK2982772 in Healthy Subjects,Autoimmune Diseases,Drug: GSK2982772 capsule|Drug: Placebo capsule
